name,rating,reviews,website,phone,address
Karim's,4.4,3892,karims.in,+91-9999922222,"Jama Masjid Road, New Delhi"
Bukhara,4.6,2451,ithbukhara.com,+91-11-4163-4321,"ITC Maurya, Delhi"
Saravana Bhavan,4.5,1832,saravana-bhavan.com,+91-11-4555-8888,"Connaught Place, Delhi"
Shaken Oak,4.3,945,shakenoak.com,+91-11-4141-4141,"Khan Market, Delhi"
Indian Accent,4.7,1256,indianaccent.com,+91-11-4321-1234,"The Lodhi, Delhi"
Haldiram's,4.2,5632,haldirams.com,+91-11-2555-9999,Multiple locations
Rajdhani,4.4,2134,rajdhani.in,+91-11-2222-8888,"CP Rajdhani, Delhi"
Naivedyam,4.6,1543,naivedyamdelhi.com,+91-11-3333-5555,"Karol Bagh, Delhi"
Nirula's,4.1,3456,niruplas.com,+91-11-4141-4141,"CP, Delhi"
The Punjabi By Nature,4.5,2789,thepunjabi.com,+91-11-4555-1111,Multiple locations
Khyber,4.3,1876,khyberdelhi.com,+91-11-2323-2323,"Regal Building, CP"
Dakshin,4.5,1345,dakshin-delhi.com,+91-11-4163-4321,"ITC Maurya, Delhi"
Oh! Calcutta,4.4,987,ohcalcutta.com,+91-11-2525-2525,Various locations
Dum Pukht,4.6,1234,dumpukht.in,+91-11-4163-4321,"ITC Maurya, Delhi"
Gulati,4.2,2156,gulati.in,+91-11-2328-2328,Old Delhi
Paranthe Wali Gali,4.3,4562,paranthe.com,+91-9876543210,"Chandni Chowk, Old Delhi"
Trivoli,4.4,876,trivoli.in,+91-11-4141-5678,"Connaught Place, Delhi"
Veda,4.5,1543,veda-delhi.com,+91-11-4163-5555,"CP, Delhi"
Smoke House Deli,4.6,2134,smokehousedeli.com,+91-11-4163-4321,Multiple locations
Mahesh Lunch Home,4.5,1876,maheshdelhi.com,+91-11-2345-6789,"CP, Delhi"
Florentine,4.3,1234,florentine.in,+91-11-4444-4444,"Khan Market, Delhi"
Three Forks,4.4,987,threeforks.in,+91-11-5555-5555,"Defence Colony, Delhi"
The Leela Palace,4.7,1654,theleela.com,+91-11-4163-4321,"Chanakyapuri, Delhi"
Masala Art,4.4,2345,masalaart.in,+91-11-3333-3333,Various locations
Circus Cafe,4.3,876,circuscafe.in,+91-11-2121-2121,"CP, Delhi"
Tamra,4.5,1234,tamradelhi.com,+91-11-4040-4040,"Amar Colony, Delhi"
Cafe Basilico,4.4,765,cafebasilico.in,+91-11-2828-2828,"Khan Market, Delhi"
Mount Everest,4.2,2156,mt-everest.in,+91-11-2222-2222,"Connaught Place, Delhi"
Chez Nini,4.3,543,cheznini.com,+91-11-3131-3131,"Greater Kailash, Delhi"
KIZA,4.6,1543,kiza.in,+91-11-4163-4321,New Delhi
